hashtag,text,favorite_count
#KukiMilitant,@VladAdiReturns And the govt of india let the indigenous Hindu of manipur suffer in the hand of #kukimilitant https://t.co/aOVRZ2Ym67,3
#KukiMilitant,@th_robert #kukimilitant on 3rd may 2023 https://t.co/Uxh66hFLnS,16
#KukiMilitant,@pbkhuptong @NENowNews @HMOIndia @PMOIndia @Spearcorps #kukimilitant on 3rd may 2023..... https://t.co/K5neoB0gcU,0
#KukiMilitant,@anirudhdg #kukimilitant on 3rd may 2023 https://t.co/RmC5g7XhNc,29
#KukiMilitant,@AskerAliMk1 @narendramodi @AmitShah @PMOIndia @NBirenSingh @Paari_Athouba @Sana10Meitei High time to end soo with #kukimilitant to end the atrocities...... to indigenous people of manipur,0
#KukiMilitant,@ukhrultimes Soo with #kukimilitant must be abrogated to  end the atrocities,0
#KukiMilitant,@KapthangHaokip @manipur_police @HMOIndia @PIBHomeAffairs @10hagHaokip @AriesHaoneoKuki @KukiMinjoy @lunginhao @ThangminlunHk #kukimilitant on 3rd may https://t.co/tbrINvJjp1,0
#KukiMilitant,"Examine the #Kukis engaging in the burning of #Meitei villages, finding pleasure in their actions. If the Suspension of Operations agreement remains in place, what implications might it hold for the future of #Manipur? #AbrogateSoO #KukiMIlitant #kukiterrorists #ManipurViolence https://t.co/WyebEZURGN",184
#KukiMilitant,"Examine the #Kukis engaging in the burning of #Meitei villages, finding pleasure in their actions. If the Suspension of Operations agreement remains in place, what implications might it hold for the future of #Manipur? #AbrogateSoO #KukiMIlitant #kukiterrorists #ManipurViolence https://t.co/PLl5JFv5hz",281
#KukiMilitant,"#KukiMilitant 
#KukiZoDrugCommunity",0
#KukiMilitant,"@Meitei_Lazarus4 @AmitShah @narendramodi @UNGeneva @UNOSAPG @Maheshwarthouna @Hindus_Unity_ @UNICEFIndia @MumbaichaDon @BalshaliBharat @HinduAmerican #KukiMilitant
#AbrogateSoO 
#AbrogateSoO_with_kuki_militants
#Kuki_ZoEngineeredViolence 

@NBirenSingh
@PMOIndia @HMOIndia

#SaveMeiteis 
#SaveManipur",5
#KukiMilitant,"@kamkeidungsuun @SCofIndia Abey oie, He is exhausted because #KukiMilitant keeps attacking the #Meitei villages N acting innocent after killing people. 

#KukiMilitant end will come soon. Don't apply poppy logic here. AFSPA is not functioning  in hills, so it won't in the valley too. #Art356 will not come",1
#KukiMilitant,@SarjuLongjam #AbrogateSoO with #KukiMilitant,0
#KukiMilitant,@VladAdiReturns And the govt of india let the indigenous Hindu of manipur suffer in the hand of #kukimilitant https://t.co/aOVRZ2Ym67,3
#KukiMilitant,@th_robert #kukimilitant on 3rd may 2023 https://t.co/Uxh66hFLnS,16
#KukiMilitant,@pbkhuptong @NENowNews @HMOIndia @PMOIndia @Spearcorps #kukimilitant on 3rd may 2023..... https://t.co/K5neoB0gcU,0
#KukiMilitant,@anirudhdg #kukimilitant on 3rd may 2023 https://t.co/RmC5g7XhNc,29
#KukiMilitant,@AskerAliMk1 @narendramodi @AmitShah @PMOIndia @NBirenSingh @Paari_Athouba @Sana10Meitei High time to end soo with #kukimilitant to end the atrocities...... to indigenous people of manipur,0
